iter	Passed	Remaining
0	135	135043
1	136	68146
2	137	45761
3	138	34552
4	141	28196
5	143	23738
6	144	20539
7	146	18123
8	147	16259
9	148	14749
10	150	13502
11	151	12461
12	152	11599
13	156	11010
14	158	10396
15	160	9853
16	161	9352
17	163	8896
18	164	8491
19	166	8140
20	169	7911
21	171	7603
22	172	7333
23	174	7114
24	177	6916
25	179	6708
26	180	6508
27	182	6321
28	186	6255
29	188	6083
30	189	5922
31	190	5771
32	192	5628
33	193	5492
34	194	5363
35	195	5241
36	197	5131
37	200	5077
38	202	4978
39	204	4898
40	205	4808
41	206	4720
42	208	4634
43	209	4552
44	210	4475
45	212	4398
46	214	4358
47	216	4295
48	218	4241
49	220	4181
50	221	4128
51	223	4068
52	224	4011
53	225	3955
54	227	3900
55	229	3876
56	231	3829
57	233	3792
58	235	3753
59	236	3710
60	238	3664
61	239	3619
62	240	3580
63	242	3539
64	245	3524
65	246	3490
66	248	3465
67	250	3430
68	251	3394
69	252	3357
70	254	3325
71	255	3292
72	256	3257
73	257	3224
74	260	3212
75	261	3184
76	263	3162
77	265	3135
78	266	3111
79	268	3084
80	269	3055
81	270	3028
82	271	2996
83	272	2972
84	275	2970
85	277	2948
86	279	2931
87	280	2909
88	282	2888
89	283	2865
90	284	2843
91	285	2822
92	287	2799
93	288	2779
94	291	2772
95	292	2755
96	294	2741
97	295	2721
98	297	2705
99	298	2690
100	300	2671
101	301	2654
102	302	2635
103	303	2618
104	307	2624
105	310	2615
106	312	2604
107	313	2588
108	314	2572
109	315	2556
110	317	2541
111	318	2527
112	320	2516
113	323	2510
114	325	2501
115	326	2489
116	328	2475
117	329	2462
118	330	2449
119	331	2434
120	333	2421
121	334	2406
122	337	2405
123	338	2394
124	340	2386
125	342	2375
126	343	2364
127	345	2352
128	346	2339
129	347	2328
130	349	2316
131	352	2314
132	353	2305
133	356	2300
134	357	2291
135	359	2281
136	360	2270
137	362	2261
138	363	2251
139	364	2240
140	367	2239
141	369	2230
142	370	2222
143	372	2214
144	373	2204
145	375	2196
146	376	2186
147	378	2176
148	379	2165
149	380	2155
150	386	2173
151	388	2165
152	389	2157
153	390	2147
154	392	2137
155	393	2128
156	394	2119
157	395	2109
158	398	2110
159	400	2102
160	402	2096
161	404	2090
162	405	2082
163	406	2073
164	408	2065
165	409	2057
166	410	2048
167	411	2039
168	415	2043
169	417	2037
170	418	2030
171	420	2024
172	421	2016
173	423	2008
174	424	2000
175	425	1992
176	426	1984
177	430	1987
178	432	1982
179	433	1977
180	435	1971
181	437	1965
182	438	1957
183	440	1951
184	441	1944
185	443	1939
186	446	1940
187	448	1937
188	450	1931
189	451	1924
190	453	1919
191	454	1913
192	455	1906
193	457	1899
194	461	1906
195	463	1901
196	465	1896
197	466	1891
198	468	1884
199	469	1877
200	470	1871
201	472	1864
202	473	1857
203	476	1857
204	477	1851
205	479	1847
206	480	1842
207	482	1836
208	483	1829
209	484	1823
210	486	1817
211	487	1811
212	488	1805
213	493	1811
214	494	1806
215	496	1802
216	498	1798
217	499	1793
218	501	1788
219	502	1782
220	504	1778
221	507	1778
222	510	1777
223	511	1772
224	513	1767
225	514	1761
226	515	1756
227	517	1751
228	518	1746
229	523	1750
230	525	1747
231	526	1742
232	527	1737
233	529	1732
234	530	1727
235	532	1722
236	533	1716
237	534	1711
238	537	1711
239	539	1708
240	541	1704
241	543	1702
242	544	1697
243	546	1692
244	547	1686
245	548	1682
246	552	1683
247	554	1680
248	556	1677
249	557	1673
250	559	1668
251	560	1664
252	562	1660
253	563	1656
254	565	1651
255	568	1651
256	570	1649
257	572	1647
258	574	1643
259	575	1638
260	576	1633
261	578	1628
262	579	1624
263	582	1623
264	583	1619
265	586	1617
266	588	1614
267	589	1609
268	590	1604
269	591	1599
270	593	1595
271	594	1590
272	595	1585
273	599	1587
274	600	1583
275	602	1581
276	604	1577
277	605	1573
278	606	1568
279	608	1563
280	609	1559
281	610	1554
282	614	1556
283	616	1553
284	618	1551
285	620	1549
286	622	1545
287	623	1541
288	625	1538
289	630	1543
290	633	1542
291	634	1538
292	635	1534
293	637	1531
294	639	1527
295	640	1523
296	642	1520
297	645	1521
298	647	1518
299	648	1514
300	650	1510
301	652	1506
302	653	1502
303	654	1498
304	655	1494
305	659	1496
306	661	1493
307	663	1491
308	665	1487
309	666	1483
310	667	1479
311	668	1475
312	670	1470
313	671	1466
314	674	1466
315	676	1464
316	678	1461
317	679	1458
318	681	1455
319	682	1451
320	684	1447
321	685	1443
322	687	1440
323	691	1441
324	692	1438
325	694	1436
326	696	1433
327	697	1429
328	698	1425
329	700	1421
330	701	1417
331	702	1413
332	706	1414
333	707	1410
334	709	1408
335	710	1404
336	712	1401
337	713	1397
338	714	1393
339	716	1389
340	717	1386
341	719	1384
342	721	1382
343	723	1380
344	725	1376
345	726	1373
346	727	1369
347	729	1365
348	730	1362
349	731	1358
350	732	1355
351	736	1355
352	737	1352
353	739	1349
354	741	1346
355	742	1343
356	743	1339
357	745	1337
358	747	1334
359	748	1330
360	752	1331
361	754	1329
362	756	1326
363	757	1323
364	758	1320
365	760	1316
366	761	1313
367	762	1309
368	763	1306
369	767	1306
370	769	1304
371	770	1301
372	772	1298
373	773	1295
374	775	1291
375	776	1288
376	777	1285
377	779	1282
378	783	1284
379	786	1282
380	787	1279
381	789	1277
382	791	1275
383	792	1271
384	794	1268
385	795	1265
386	797	1264
387	799	1260
388	800	1258
389	802	1255
390	804	1252
391	805	1249
392	806	1245
393	807	1242
394	808	1238
395	810	1235
396	813	1235
397	815	1233
398	817	1230
399	818	1227
400	819	1224
401	820	1221
402	822	1217
403	823	1214
404	824	1211
405	825	1208
406	830	1210
407	832	1207
408	834	1206
409	836	1203
410	838	1201
411	839	1198
412	841	1195
413	842	1192
414	843	1189
415	844	1185
416	846	1183
